Thời gian,FDI,FDI đăng kí (lũy kế năm),FDI giải ngân (lũy kế năm),Thương mại (lũy kế năm),Xuất khẩu  (lũy kế năm),Nhập khẩu  (lũy kế năm),Cung tiền & tín dụng,Tăng trưởng tín dụng,Nông nghiệp,Thương mại,Công nghiệp,Xây dựng,Cung tiền M2,Tài khóa,Tổng thu,Nội địa,Tổng chi,Chi đầu tư phát triển,Chi thường xuyên,Chỉ số giá,Lạm phát cơ bản,Lạm phát,Thực phẩm,Nhà ở và VLXD,Y tế,Vận tải,Chỉ số PMI,Tăng trưởng GDP thực tế
-,-,% YoY,% YoY,-,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY
T1 2020,-,179.5,-6.5,-,N/A,-13.2,-,11.6,6.4,13.8,7,14.9,13.4,-,2.6,3,8.7,31.8,4,-,3.3,6.4,14.5,6.3,3.7,7.5,50.6,3.7
T2 2020,-,-23.6,-5,-,9.2,3.5,-,12.6,6.5,15.6,7.9,14.9,13.8,-,2.6,3,8.7,31.8,4,-,2.9,5.4,12,5.5,3.8,4.6,50.6,3.7
T3 2020,-,-20.9,-6.6,-,7.8,N/A,-,11.6,6.1,14.3,7.5,13,13.5,-,2.6,3,8.7,31.8,4,-,3,4.9,13.2,4.5,3.8,-2.6,41.9,3.7
T4 2020,-,-15.5,-9.6,-,2.2,0.1,-,10.3,5.3,12.1,7.8,11.9,12.9,-,-10.3,-7.1,9.5,31,5.5,-,2.7,2.9,14.9,1.4,3.8,-19.6,32.7,0.4
T5 2020,-,-17,-8.2,-,-0.9,-5,-,9.6,5.1,11.7,7.2,11.1,12.6,-,-10.3,-7.1,9.5,31,5.5,-,2.5,2.4,15.3,0.4,4,-23.4,42.7,0.4
T6 2020,-,-15.2,-4.9,-,0.2,-3.3,-,9.7,6.1,12.6,6.6,12.1,12.7,-,-10.3,-7.1,9.5,31,5.5,-,2.5,3.2,15.9,0.2,4,-17.3,51.1,0.4
T7 2020,-,-6.9,-4.1,-,1.5,-3.2,-,10,6.6,13.6,5.9,13.1,13.2,-,-10.8,-7.9,8.1,40.1,3.2,-,2.3,3.4,15,0.7,4,-14,47.6,2.6
T8 2020,-,-13.7,-5.1,-,2.3,-2.5,-,10.1,7,14,5.3,13.9,13.7,-,-10.8,-7.9,8.1,40.1,3.2,-,2.2,3.2,14.8,0.4,0.3,-13.6,45.7,2.6
T9 2020,-,-18.9,-3.2,-,N/A,N/A,-,10.2,7.7,13.5,6.3,13.8,13.9,-,-10.8,-7.9,8.1,40.1,3.2,-,2,3,13.3,0.9,0.4,-12.6,52.2,2.6
T10 2020,-,-21.6,-2.5,-,4.9,0.2,-,10.3,8.2,12.5,7.3,12.8,14,-,-2.8,1.3,2.3,25.5,6.7,-,1.9,2.5,11.2,0.7,0.4,-13.5,51.8,4.5
T11 2020,-,-16.9,-2.4,-,5.5,1.6,-,11,8.5,12.8,8.9,11.8,14.2,-,-2.8,1.3,2.3,25.5,6.7,-,1.6,1.5,6.8,0.6,0.4,-13.3,49.9,4.5
T12 2020,-,-25,-2,-,6.9,3.7,-,12.2,8.3,14,11,6.6,14.5,-,-2.8,1.3,2.3,25.5,6.7,-,1,0.2,1.5,0.2,0.4,-11.7,51.7,4.5
T1 2021,-,-62.2,4.1,-,55.1,42,-,12.9,8.1,16.4,11.7,4.4,13.4,-,3.2,4.8,-0.4,-1.4,1.3,-,0.5,-1,-0.3,-3.6,0.2,-10.3,51.3,4.5
T2 2021,-,-15.6,2,-,N/A,26.4,-,12.7,8.6,14.9,12.4,4.7,14.6,-,3.2,4.8,-0.4,-1.4,1.3,-,0.8,0.7,1.6,0.3,0.1,-6.6,51.6,4.5
T3 2021,-,18.5,6.5,-,23.9,27.7,-,14,8.5,16.8,13.3,4.9,14.8,-,3.2,4.8,-0.4,-1.4,1.3,-,0.7,1.2,0.2,0.8,0.1,0.5,53.6,4.5
T4 2021,-,-0.7,6.8,-,29.8,32.7,-,15.2,9.4,18.9,14,5.2,15.6,-,15.9,13.5,-4.8,-14,-1.7,-,1,2.7,-0.7,2.8,0.1,17.7,54.7,6.6
T5 2021,-,0.8,6.7,-,31.1,37.7,-,15.4,8.8,19.2,14.8,4.3,14.9,-,15.9,13.5,-4.8,-14,-1.7,-,1.1,2.9,-1.1,2.9,0,21.2,53.1,6.6
T6 2021,-,-2.5,6.8,-,29.2,37.2,-,15.2,7.5,19.2,16.3,2.8,13.8,-,15.9,13.5,-4.8,-14,-1.7,-,1.1,2.4,-2,4,0,15.5,44.1,6.6
T7 2021,-,-11.3,3.8,-,26.2,36.5,-,15.3,7.3,18.9,18.5,1.6,13.7,-,10.5,7.4,-7.4,-18.8,-4.2,-,1,2.6,-0.8,4.4,0,13.8,45.1,-6.2
T8 2021,-,-2.1,2,-,21.9,34.4,-,15,6.4,18.8,19.8,0.1,12.7,-,10.5,7.4,-7.4,-18.8,-4.2,-,1,2.8,0.1,4.3,0,13.6,40.2,-6.2
T9 2021,-,4.4,-3.5,-,18.9,31.4,-,14.1,6.1,17.8,19.6,-0.3,12.1,-,10.5,7.4,-7.4,-18.8,-4.2,-,0.7,2.1,0.4,1.6,0,13.6,40.2,-6.2
T10 2021,-,4,-4.1,-,N/A,28.7,-,14.2,6.2,18.2,18.5,0.1,11.7,-,-9.4,-12.2,-4.4,-10.9,-1.2,-,0.5,1.8,-1.4,1.1,0,16.5,52.1,5.2
T11 2021,-,0.1,-0.6,-,18.3,28.2,,14.6,6.3,19.1,18,2.9,11.2,-,-9.4,-12.2,-4.4,-10.9,-1.2,-,0.6,2.1,-1.7,1.5,0,20.7,52.2,5.2
T12 2021,-,9.2,-1.2,-,19,26.5,-,13.6,6.4,17.8,14.3,4.1,10.7,-,-9.4,-12.2,-4.4,-10.9,-1.2,-,0.7,1.8,-0.8,1,0,15.8,52.5,5.2
T1 2022,-,4.1,6.6,-,29,26.4,-,15.6,8.2,19.9,15.8,6.5,12.7,-,14.1,10.3,2.8,1.3,4,-,0.7,1.9,-1.7,3.5,0,14.6,53.7,5
T2 2022,-,-8.5,7.2,-,13.8,16.2,-,15.9,8,20.7,14.9,6.1,11.6,-,14.1,10.3,2.8,1.3,4,-,0.7,1.4,-1.8,0.4,0,15.5,54.3,5
T3 2022,-,-12,7.8,-,15.8,16.1,-,16.9,9.6,20.8,15.2,6.6,12.3,-,14.1,10.3,2.8,1.3,4,-,1.1,2.4,-0.1,1.7,0,18.3,51.7,5
T4 2022,-,-11.8,7.6,-,19.4,16.9,-,17,10.5,20.9,15.1,6.2,11.3,-,21.5,18.1,2.7,12.1,1.7,-,1.5,2.6,-0.2,2.7,0,16.6,51.7,7.7
